elevation (ft),storage (maf),area (area)
3370,0,20303
3370.5,10173.99,20392.95
3371,20392.95,20482.9
3371.5,30656.89,20572.85
3372,40965.8,20662.8
3372.5,51319.69,20752.75
3373,61718.55,20842.7
3373.5,72162.39,20932.65
3374,82651.2,21022.6
3374.5,93184.99,21112.55
3375,103763.75,21202.5
3375.5,114387.49,21292.45
3376,125056.2,21382.4
3376.5,135769.89,21472.35
3377,146528.55,21562.3
3377.5,157332.19,21652.25
3378,168180.8,21742.2
3378.5,179074.39,21832.15
3379,190012.95,21922.1
3379.5,200996.49,22012.05
3380,212025,22102
3380.5,223100.75,22201
3381,234226,22300
3381.5,245400.75,22399
3382,256625,22498
3382.5,267898.75,22597
3383,279222,22696
3383.5,290594.75,22795
3384,302017,22894
3384.5,313488.75,22993
3385,325010,23092
3385.5,336580.75,23191
3386,348201,23290
3386.5,359870.75,23389
3387,371590,23488
3387.5,383358.75,23587
3388,395177,23686
3388.5,407044.75,23785
3389,418962,23884
3389.5,430928.75,23983
3390,442945,24082
3390.5,455010.75,24181
3391,467126,24280
3391.5,479290.75,24379
3392,491505,24478
3392.5,503768.75,24577
3393,516082,24676
3393.5,528444.75,24775
3394,540857,24874
3394.5,553318.75,24973
3395,565830,25072
3395.5,578390.75,25171
3396,591001,25270
3396.5,603660.75,25369
3397,616370,25468
3397.5,629128.75,25567
3398,641937,25666
3398.5,654794.75,25765
3399,667702,25864
3399.5,680658.75,25963
3400,693665,26062
3400.5,706720.89,26161.57
3401,719826.57,26261.15
3401.5,732982.04,26360.72
3402,746187.3,26460.3
3402.5,759442.34,26559.87
3403,772747.17,26659.45
3403.5,786101.79,26759.02
3404,799506.2,26858.6
3404.5,812960.39,26958.17
3405,826464.37,27057.75
3405.5,840018.14,27157.32
3406,853621.7,27256.9
3406.5,867275.04,27356.47
3407,880978.17,27456.05
3407.5,894731.09,27555.62
3408,908533.8,27655.2
3408.5,922386.29,27754.77
3409,936288.57,27854.35
3409.5,950240.64,27953.92
3410,964242.5,28053.5
3410.5,978294.14,28153.07
3411,992395.57,28252.65
3411.5,1006546.79,28352.22
3412,1020747.8,28451.8
3412.5,1034998.59,28551.37
3413,1049299.17,28650.95
3413.5,1063649.54,28750.52
3414,1078049.7,28850.1
3414.5,1092499.64,28949.67
3415,1106999.37,29049.25
3415.5,1121548.89,29148.82
3416,1136148.2,29248.4
3416.5,1150797.29,29347.97
3417,1165496.17,29447.55
3417.5,1180244.84,29547.12
3418,1195043.3,29646.7
3418.5,1209891.54,29746.27
3419,1224789.57,29845.85
3419.5,1239737.39,29945.42
3420,1254735,30045
3420.5,1269786.59,30161.35
3421,1284896.35,30277.7
3421.5,1300064.29,30394.05
3422,1315290.4,30510.4
3422.5,1330574.69,30626.75
3423,1345917.15,30743.1
3423.5,1361317.79,30859.45
3424,1376776.6,30975.8
3424.5,1392293.59,31092.15
3425,1407868.75,31208.5
3425.5,1423502.09,31324.85
3426,1439193.6,31441.2
3426.5,1454943.29,31557.55
3427,1470751.15,31673.9
3427.5,1486617.19,31790.25
3428,1502541.4,31906.6
3428.5,1518523.79,32022.95
3429,1534564.35,32139.3
3429.5,1550663.09,32255.65
3430,1566820,32372
3430.5,1583035.09,32488.35
3431,1599308.35,32604.7
3431.5,1615639.79,32721.05
3432,1632029.4,32837.4
3432.5,1648477.19,32953.75
3433,1664983.15,33070.1
3433.5,1681547.29,33186.45
3434,1698169.6,33302.8
3434.5,1714850.09,33419.15
3435,1731588.75,33535.5
3435.5,1748385.59,33651.85
3436,1765240.6,33768.2
3436.5,1782153.79,33884.55
3437,1799125.15,34000.9
3437.5,1816154.69,34117.25
3438,1833242.4,34233.6
3438.5,1850388.29,34349.95
3439,1867592.35,34466.3
3439.5,1884854.59,34582.65
3440,1902175,34699
3440.5,1919559.89,34840.55
3441,1937015.55,34982.1
3441.5,1954541.99,35123.65
3442,1972139.2,35265.2
3442.5,1989807.19,35406.75
3443,2007545.95,35548.3
3443.5,2025355.49,35689.85
3444,2043235.8,35831.4
3444.5,2061186.89,35972.95
3445,2079208.75,36114.5
3445.5,2097301.39,36256.05
3446,2115464.8,36397.6
3446.5,2133698.99,36539.15
3447,2152003.95,36680.7
3447.5,2170379.69,36822.25
3448,2188826.2,36963.8
3448.5,2207343.49,37105.35
3449,2225931.55,37246.9
3449.5,2244590.39,37388.45
3450,2263320,37530
3450.5,2282120.39,37671.55
3451,2300991.55,37813.1
3451.5,2319933.49,37954.65
3452,2338946.2,38096.2
3452.5,2358029.69,38237.75
3453,2377183.95,38379.3
3453.5,2396408.99,38520.85
3454,2415704.8,38662.4
3454.5,2435071.39,38803.95
3455,2454508.75,38945.5
3455.5,2474016.89,39087.05
3456,2493595.8,39228.6
3456.5,2513245.49,39370.15
3457,2532965.95,39511.7
3457.5,2552757.19,39653.25
3458,2572619.2,39794.8
3458.5,2592551.99,39936.35
3459,2612555.55,40077.9
3459.5,2632629.89,40219.45
3460,2652775,40361
3460.5,2672992.46,40508.85
3461,2693283.85,40656.7
3461.5,2713649.16,40804.55
3462,2734088.4,40952.4
3462.5,2754601.56,41100.25
3463,2775188.65,41248.1
3463.5,2795849.66,41395.95
3464,2816584.6,41543.8
3464.5,2837393.46,41691.65
3465,2858276.25,41839.5
3465.5,2879232.96,41987.35
3466,2900263.6,42135.2
3466.5,2921368.16,42283.05
3467,2942546.65,42430.9
3467.5,2963799.06,42578.75
3468,2985125.4,42726.6
3468.5,3006525.66,42874.45
3469,3027999.85,43022.3
3469.5,3049547.96,43170.15
3470,3071170,43318
3470.5,3092865.96,43465.85
3471,3114635.85,43613.7
3471.5,3136479.66,43761.55
3472,3158397.4,43909.4
3472.5,3180389.06,44057.25
3473,3202454.65,44205.1
3473.5,3224594.16,44352.95
3474,3246807.6,44500.8
3474.5,3269094.96,44648.65
3475,3291456.25,44796.5
3475.5,3313891.46,44944.35
3476,3336400.6,45092.2
3476.5,3358983.66,45240.05
3477,3381640.65,45387.9
3477.5,3404371.56,45535.75
3478,3427176.4,45683.6
3478.5,3450055.16,45831.45
3479,3473007.85,45979.3
3479.5,3496034.46,46127.15
3480,3519135,46275
3480.5,3542310.69,46427.77
3481,3565562.77,46580.55
3481.5,3588891.24,46733.32
3482,3612296.1,46886.1
3482.5,3635777.34,47038.87
3483,3659334.97,47191.65
3483.5,3682968.99,47344.42
3484,3706679.4,47497.2
3484.5,3730466.19,47649.97
3485,3754329.37,47802.75
3485.5,3778268.94,47955.52
3486,3802284.9,48108.3
3486.5,3826377.24,48261.07
3487,3850545.97,48413.85
3487.5,3874791.09,48566.62
3488,3899112.6,48719.4
3488.5,3923510.49,48872.17
3489,3947984.77,49024.95
3489.5,3972535.44,49177.72
3490,3997162.5,49330.5
3490.5,4021865.94,49483.27
3491,4046645.77,49636.05
3491.5,4071501.99,49788.82
3492,4096434.6,49941.6
3492.5,4121443.59,50094.37
3493,4146528.97,50247.15
3493.5,4171690.74,50399.92
3494,4196928.9,50552.7
3494.5,4222243.44,50705.47
3495,4247634.37,50858.25
3495.5,4273101.69,51011.02
3496,4298645.4,51163.8
3496.5,4324265.49,51316.57
3497,4349961.97,51469.35
3497.5,4375734.84,51622.12
3498,4401584.1,51774.9
3498.5,4427509.74,51927.67
3499,4453511.77,52080.45
3499.5,4479590.19,52233.22
3500,4505745,52386
3500.5,4531982.31,52563.25
3501,4558308.25,52740.5
3501.5,4584722.81,52917.75
3502,4611226,53095
3502.5,4637817.81,53272.25
3503,4664498.25,53449.5
3503.5,4691267.31,53626.75
3504,4718125,53804
3504.5,4745071.31,53981.25
3505,4772106.25,54158.5
3505.5,4799229.81,54335.75
3506,4826442,54513
3506.5,4853742.81,54690.25
3507,4881132.25,54867.5
3507.5,4908610.31,55044.75
3508,4936177,55222
3508.5,4963832.31,55399.25
3509,4991576.25,55576.5
3509.5,5019408.81,55753.75
3510,5047330,55931
3510.5,5075339.81,56108.25
3511,5103438.25,56285.5
3511.5,5131625.31,56462.75
3512,5159901,56640
3512.5,5188265.31,56817.25
3513,5216718.25,56994.5
3513.5,5245259.81,57171.75
3514,5273890,57349
3514.5,5302608.81,57526.25
3515,5331416.25,57703.5
3515.5,5360312.31,57880.75
3516,5389297,58058
3516.5,5418370.31,58235.25
3517,5447532.25,58412.5
3517.5,5476782.81,58589.75
3518,5506122,58767
3518.5,5535549.81,58944.25
3519,5565066.25,59121.5
3519.5,5594671.31,59298.75
3520,5624365,59476
3520.5,5654151.31,59669.25
3521,5684034.25,59862.5
3521.5,5714013.81,60055.75
3522,5744090,60249
3522.5,5774262.81,60442.25
3523,5804532.25,60635.5
3523.5,5834898.31,60828.75
3524,5865361,61022
3524.5,5895920.31,61215.25
3525,5926576.25,61408.5
3525.5,5957328.81,61601.75
3526,5988178,61795
3526.5,6019123.81,61988.25
3527,6050166.25,62181.5
3527.5,6081305.31,62374.75
3528,6112541,62568
3528.5,6143873.31,62761.25
3529,6175302.25,62954.5
3529.5,6206827.81,63147.75
3530,6238450,63341
3530.5,6270168.81,63534.25
3531,6301984.25,63727.5
3531.5,6333896.31,63920.75
3532,6365905,64114
3532.5,6398010.31,64307.25
3533,6430212.25,64500.5
3533.5,6462510.81,64693.75
3534,6494906,64887
3534.5,6527397.81,65080.25
3535,6559986.25,65273.5
3535.5,6592671.31,65466.75
3536,6625453,65660
3536.5,6658331.31,65853.25
3537,6691306.25,66046.5
3537.5,6724377.81,66239.75
3538,6757546,66433
3538.5,6790810.81,66626.25
3539,6824172.25,66819.5
3539.5,6857630.31,67012.75
3540,6891185,67206
3540.5,6924842.84,67425.37
3541,6958610.37,67644.75
3541.5,6992487.59,67864.12
3542,7026474.5,68083.5
3542.5,7060571.09,68302.87
3543,7094777.37,68522.25
3543.5,7129093.34,68741.62
3544,7163519,68961
3544.5,7198054.34,69180.37
3545,7232699.37,69399.75
3545.5,7267454.09,69619.12
3546,7302318.5,69838.5
3546.5,7337292.59,70057.87
3547,7372376.37,70277.25
3547.5,7407569.84,70496.62
3548,7442873,70716
3548.5,7478285.84,70935.37
3549,7513808.37,71154.75
3549.5,7549440.59,71374.12
3550,7585182.5,71593.5
3550.5,7621034.09,71812.87
3551,7656995.37,72032.25
3551.5,7693066.34,72251.62
3552,7729247,72471
3552.5,7765537.34,72690.37
3553,7801937.37,72909.75
3553.5,7838447.09,73129.12
3554,7875066.5,73348.5
3554.5,7911795.59,73567.87
3555,7948634.37,73787.25
3555.5,7985582.84,74006.62
3556,8022641,74226
3556.5,8059808.84,74445.37
3557,8097086.37,74664.75
3557.5,8134473.59,74884.12
3558,8171970.5,75103.5
3558.5,8209577.09,75322.87
3559,8247293.37,75542.25
3559.5,8285119.34,75761.62
3560,8323055,75981
3560.5,8361106.04,76223.15
3561,8399278.15,76465.3
3561.5,8437571.34,76707.45
3562,8475985.6,76949.6
3562.5,8514520.94,77191.75
3563,8553177.35,77433.9
3563.5,8591954.84,77676.05
3564,8630853.4,77918.2
3564.5,8669873.04,78160.35
3565,8709013.75,78402.5
3565.5,8748275.54,78644.65
3566,8787658.4,78886.8
3566.5,8827162.34,79128.95
3567,8866787.35,79371.1
3567.5,8906533.44,79613.25
3568,8946400.6,79855.4
3568.5,8986388.84,80097.55
3569,9026498.15,80339.7
3569.5,9066728.54,80581.85
3570,9107080,80824
3570.5,9147552.54,81066.15
3571,9188146.15,81308.3
3571.5,9228860.84,81550.45
3572,9269696.6,81792.6
3572.5,9310653.44,82034.75
3573,9351731.35,82276.9
3573.5,9392930.34,82519.05
3574,9434250.4,82761.2
3574.5,9475691.54,83003.35
3575,9517253.75,83245.5
3575.5,9558937.04,83487.65
3576,9600741.4,83729.8
3576.5,9642666.84,83971.95
3577,9684713.35,84214.1
3577.5,9726880.94,84456.25
3578,9769169.6,84698.4
3578.5,9811579.34,84940.55
3579,9854110.15,85182.7
3579.5,9896762.04,85424.85
3580,9939535,85667
3580.5,9982429.25,85910
3581,10025445,86153
3581.5,10068582.25,86396
3582,10111841,86639
3582.5,10155221.25,86882
3583,10198723,87125
3583.5,10242346.25,87368
3584,10286091,87611
3584.5,10329957.25,87854
3585,10373945,88097
3585.5,10418054.25,88340
3586,10462285,88583
3586.5,10506637.25,88826
3587,10551111,89069
3587.5,10595706.25,89312
3588,10640423,89555
3588.5,10685261.25,89798
3589,10730221,90041
3589.5,10775302.25,90284
3590,10820505,90527
3590.5,10865829.25,90770
3591,10911275,91013
3591.5,10956842.25,91256
3592,11002531,91499
3592.5,11048341.25,91742
3593,11094273,91985
3593.5,11140326.25,92228
3594,11186501,92471
3594.5,11232797.25,92714
3595,11279215,92957
3595.5,11325754.25,93200
3596,11372415,93443
3596.5,11419197.25,93686
3597,11466101,93929
3597.5,11513126.25,94172
3598,11560273,94415
3598.5,11607541.25,94658
3599,11654931,94901
3599.5,11702442.25,95144
3600,11750075,95387
3600.5,11797834.39,95650.55
3601,11845725.55,95914.1
3601.5,11893748.49,96177.65
3602,11941903.2,96441.2
3602.5,11990189.69,96704.75
3603,12038607.95,96968.3
3603.5,12087157.99,97231.85
3604,12135839.8,97495.4
3604.5,12184653.39,97758.95
3605,12233598.75,98022.5
3605.5,12282675.89,98286.05
3606,12331884.8,98549.6
3606.5,12381225.49,98813.15
3607,12430697.95,99076.7
3607.5,12480302.19,99340.25
3608,12530038.2,99603.8
3608.5,12579905.99,99867.35
3609,12629905.55,100130.9
3609.5,12680036.89,100394.45
3610,12730300,100658
3610.5,12780694.89,100921.55
3611,12831221.55,101185.1
3611.5,12881879.99,101448.65
3612,12932670.2,101712.2
3612.5,12983592.19,101975.75
3613,13034645.95,102239.3
3613.5,13085831.49,102502.85
3614,13137148.8,102766.4
3614.5,13188597.89,103029.95
3615,13240178.75,103293.5
3615.5,13291891.39,103557.05
3616,13343735.8,103820.6
3616.5,13395711.99,104084.15
3617,13447819.95,104347.7
3617.5,13500059.69,104611.25
3618,13552431.2,104874.8
3618.5,13604934.49,105138.35
3619,13657569.55,105401.9
3619.5,13710336.39,105665.45
3620,13763235,105929
3620.5,13816275.28,106232.12
3621,13869467.12,106535.25
3621.5,13922810.53,106838.37
3622,13976305.5,107141.5
3622.5,14029952.03,107444.62
3623,14083750.12,107747.75
3623.5,14137699.78,108050.87
3624,14191801,108354
3624.5,14246053.78,108657.12
3625,14300458.12,108960.25
3625.5,14355014.03,109263.37
3626,14409721.5,109566.5
3626.5,14464580.53,109869.62
3627,14519591.12,110172.75
3627.5,14574753.28,110475.87
3628,14630067,110779
3628.5,14685532.28,111082.12
3629,14741149.12,111385.25
3629.5,14796917.53,111688.37
3630,14852837.5,111991.5
3630.5,14908909.03,112294.62
3631,14965132.12,112597.75
3631.5,15021506.78,112900.87
3632,15078033,113204
3632.5,15134710.78,113507.12
3633,15191540.12,113810.25
3633.5,15248521.03,114113.37
3634,15305653.5,114416.5
3634.5,15362937.53,114719.62
3635,15420373.12,115022.75
3635.5,15477960.28,115325.87
3636,15535699,115629
3636.5,15593589.28,115932.12
3637,15651631.12,116235.25
3637.5,15709824.53,116538.37
3638,15768169.5,116841.5
3638.5,15826666.03,117144.62
3639,15885314.12,117447.75
3639.5,15944113.78,117750.87
3640,16003065,118054
3640.5,16062172.28,118375.12
3641,16121440.12,118696.25
3641.5,16180868.53,119017.37
3642,16240457.5,119338.5
3642.5,16300207.03,119659.62
3643,16360117.12,119980.75
3643.5,16420187.78,120301.87
3644,16480419,120623
3644.5,16540810.78,120944.12
3645,16601363.12,121265.25
3645.5,16662076.03,121586.37
3646,16722949.5,121907.5
3646.5,16783983.53,122228.62
3647,16845178.12,122549.75
3647.5,16906533.28,122870.87
3648,16968049,123192
3648.5,17029725.28,123513.12
3649,17091562.12,123834.25
3649.5,17153559.53,124155.37
3650,17215717.5,124476.5
3650.5,17278036.03,124797.62
3651,17340515.12,125118.75
3651.5,17403154.78,125439.87
3652,17465955,125761
3652.5,17528915.78,126082.12
3653,17592037.12,126403.25
3653.5,17655319.03,126724.37
3654,17718761.5,127045.5
3654.5,17782364.53,127366.62
3655,17846128.12,127687.75
3655.5,17910052.28,128008.87
3656,17974137,128330
3656.5,18038382.28,128651.12
3657,18102788.12,128972.25
3657.5,18167354.53,129293.37
3658,18232081.5,129614.5
3658.5,18296969.03,129935.62
3659,18362017.12,130256.75
3659.5,18427225.78,130577.87
3660,18492595,130899
3660.5,18558136.67,131267.7
3661,18623862.7,131636.4
3661.5,18689773.07,132005.1
3662,18755867.8,132373.8
3662.5,18822146.87,132742.5
3663,18888610.3,133111.2
3663.5,18955258.07,133479.9
3664,19022090.2,133848.6
3664.5,19089106.67,134217.3
3665,19156307.5,134586
3665.5,19223692.67,134954.7
3666,19291262.2,135323.4
3666.5,19359016.07,135692.1
3667,19426954.3,136060.8
3667.5,19495076.87,136429.5
3668,19563383.8,136798.2
3668.5,19631875.07,137166.9
3669,19700550.7,137535.6
3669.5,19769410.67,137904.3
3670,19838455,138273
3670.5,19907683.67,138641.7
3671,19977096.7,139010.4
3671.5,20046694.07,139379.1
3672,20116475.8,139747.8
3672.5,20186441.87,140116.5
3673,20256592.3,140485.2
3673.5,20326927.07,140853.9
3674,20397446.2,141222.6
3674.5,20468149.67,141591.3
3675,20539037.5,141960
3675.5,20610109.67,142328.7
3676,20681366.2,142697.4
3676.5,20752807.07,143066.1
3677,20824432.3,143434.8
3677.5,20896241.87,143803.5
3678,20968235.8,144172.2
3678.5,21040414.07,144540.9
3679,21112776.7,144909.6
3679.5,21185323.67,145278.3
3680,21258055,145647
3680.5,21330973.11,146025.42
3681,21404080.42,146403.85
3681.5,21477376.96,146782.27
3682,21550862.7,147160.7
3682.5,21624537.66,147539.12
3683,21698401.82,147917.55
3683.5,21772455.21,148295.97
3684,21846697.8,148674.4
3684.5,21921129.61,149052.82
3685,21995750.62,149431.25
3685.5,22070560.86,149809.67
3686,22145560.3,150188.1
3686.5,22220748.96,150566.52
3687,22296126.82,150944.95
3687.5,22371693.91,151323.37
3688,22447450.2,151701.8
3688.5,22523395.71,152080.22
3689,22599530.42,152458.65
3689.5,22675854.36,152837.07
3690,22752367.5,153215.5
3690.5,22829069.86,153593.92
3691,22905961.42,153972.35
3691.5,22983042.21,154350.77
3692,23060312.2,154729.2
3692.5,23137771.41,155107.62
3693,23215419.82,155486.05
3693.5,23293257.46,155864.47
3694,23371284.3,156242.9
3694.5,23449500.36,156621.32
3695,23527905.62,156999.75
3695.5,23606500.11,157378.17
3696,23685283.8,157756.6
3696.5,23764256.71,158135.02
3697,23843418.82,158513.45
3697.5,23922770.16,158891.87
3698,24002310.7,159270.3
3698.5,24082040.46,159648.72
3699,24161959.42,160027.15
3699.5,24242067.61,160405.57
3700,24322365,160784
3700.5,24402858.78,161191.12
3701,24483556.12,161598.25
3701.5,24564457.03,162005.37
3702,24645561.5,162412.5
3702.5,24726869.53,162819.62
3703,24808381.12,163226.75
3703.5,24890096.28,163633.87
3704,24972015,164041
3704.5,25054137.28,164448.12
3705,25136463.12,164855.25
3705.5,25218992.53,165262.37
3706,25301725.5,165669.5
3706.5,25384662.03,166076.62
3707,25467802.12,166483.75
3707.5,25551145.78,166890.87
3708,25634693,167298
3708.5,25718443.78,167705.12
3709,25802398.12,168112.25
3709.5,25886556.03,168519.37
3710,25970917.5,168926.5
3710.5,26055482.53,169333.62
3711,26140251.12,169740.75
3711.5,26225223.28,170147.87
